Target	Distance
4609	2
2052	3
5243	3
836	2
841	2
207	2
3091	2
5594	3
5595	3
5599	2
6513	3
7422	3
2811	3
3674	3
3690	3
7066	3
6648	3
25828	3
57817	4
842	3
1026	2
1111	3
7157	2
563	3
3797	3
3848	3
7018	3
160428	3
596	3
598	3
4193	2
1565	4
1559	3
1576	3
8856	3
7364	4
581	3
637	3
54205	3
56616	3
8772	3
355	2
356	3
142	2
331	2
3162	3
4316	3
4318	4
22949	3
840	3
1192	3
8192	3
1437	3
2323	5
3562	4
4254	4
7462	3
5728	1
9349	2
6169	2
6194	2
10291	3
23581	3
1649	3
10912	3
5604	2
9141	3
7153	2
1636	3
196	2
203	3
10142	3
1645	4
1646	4
8644	4
1109	4
226	3
230	3
290	4
360	3
443	4
22926	3
665	3
768	2
847	3
9308	3
942	3
1080	2
3576	3
1543	3
54583	3
112398	2
1958	2
2023	3
2026	2
2068	3
2597	3
2878	4
3014	2
1839	3
64344	3
29923	4
3098	3
3099	3
3383	3
3554	3
3918	4
3939	3
51360	4
4282	3
4317	4
4879	3
51667	3
100506658	3
8974	3
5163	3
5165	3
5230	3
8985	3
5519	3
5723	4
6401	3
5054	3
6647	3
6720	3
6774	3
7037	3
10440	3
1432	3
3732	3
1558	2
1956	2
4830	2
5742	3
6752	3
1544	4
1548	4
1555	3
1562	2
1557	4
1571	3
1577	4
2554	3
2560	3
4009	3
1545	3
1580	4
2346	3
2925	3
5468	2
5925	3
6671	4
301	3
84674	4
23017	3
2914	3
3932	3
5081	3
79156	4
9021	3
7078	3
8743	3
8626	2
9687	2
9970	1
259	2
347	3
733	4
3933	3
29991	3
5004	3
5730	3
348	2
3949	3
5743	2
7124	3
796	4
2982	3
2983	3
3248	3
183	3
834	3
843	3
835	3
839	3
7150	3
9451	3
1965	3
2053	3
2081	3
3630	2
3643	2
7494	3
11255	5
5601	2
57491	3
846	3
4846	2
6622	3
1814	3
3569	4
367	2
1815	3
147	3
146	3
5168	4
5530	2
